Rec,Voltage,Tot. Diff. Cap.
,[V],[mAh/V]
934,2.7696,
935,2.7694,
936,2.7699,
937,2.7696,
938,2.7694,
939,2.7694,
940,2.7693,
941,2.7696,
942,2.7693,
943,2.7693,
944,2.7694,
945,2.7693,
946,2.7691,
947,2.7696,
948,2.7693,
949,2.7693,
950,2.7691,
951,2.7693,
952,2.769,
953,2.769,
954,2.7694,
955,2.7691,
956,2.769,
957,2.7688,
958,2.769,
959,2.769,
960,2.769,
961,2.7688,
962,2.7688,
963,2.769,
964,2.7687,
965,2.7685,
966,2.7685,
967,2.7685,
968,2.7687,
969,2.7684,
970,2.7684,
971,2.7685,
972,2.7681,
973,2.7685,
974,2.7682,
975,2.7684,
976,2.7681,
977,2.7682,
978,2.7681,
979,2.7681,
980,2.7682,
981,2.7679,
982,2.7679,
983,2.7678,
984,2.7679,
985,2.7681,
986,2.7676,
987,2.7679,
988,2.7678,
989,2.7678,
990,2.7676,
991,2.7679,
992,2.7678,
993,2.7676,
994,2.7676,
995,2.7678,
996,2.7671,
997,2.7675,
998,2.7675,
999,2.7673,
1000,2.7671,
1001,2.7675,
1002,2.7671,
1003,2.7673,
1004,2.767,
1005,2.7671,
1006,2.7671,
1007,2.767,
1008,2.7671,
1009,2.7673,
1010,2.7668,
1011,2.767,
1012,2.7668,
1013,2.7667,
1014,2.7668,
1015,2.7668,
1016,2.7667,
1017,2.7667,
1018,2.7667,
1019,2.7667,
1020,2.7667,
1021,2.7665,
1022,2.7665,
1023,2.7667,
1024,2.7665,
1025,2.7665,
1026,2.7665,
1027,2.7665,
1028,2.7665,
1029,2.7664,
1030,2.7662,
1031,2.7664,
1032,2.7662,
1033,2.7662,
1034,2.7661,
1035,2.7664,
1036,2.7661,
1037,2.7661,
1038,2.7661,
1039,2.7661,
1040,2.7662,
1041,2.7659,
1042,2.7659,
1043,2.7658,
1044,2.7658,
1045,2.7658,
1046,2.7659,
1047,2.7658,
1048,2.7658,
1049,2.7655,
1050,2.7659,
1051,2.7655,
1052,2.7658,
1053,2.7655,
1054,2.7653,0
1055,2.7652,
1056,2.7656,
1057,2.7656,
1058,2.7653,
1059,2.7653,
1060,2.7653,
1061,2.7653,
1062,2.7653,
1063,2.7653,
1064,2.7652,
1065,2.7653,
1066,2.765,
1067,2.7647,
1068,2.765,
1069,2.765,
1070,2.7647,
1071,2.765,
1072,2.7649,
1073,2.7649,
1074,2.7649,
1075,2.765,
1076,2.7649,
1077,2.7647,
1078,2.7649,
1079,2.7647,
1080,2.7647,
1081,2.7647,
1082,2.7646,
1083,2.7646,
1084,2.7647,
1085,2.7646,
1086,2.7647,
1087,2.7646,
1088,2.7644,
1089,2.7644,
1090,2.7642,
1091,2.7642,
1092,2.7644,
1093,2.7642,
1094,2.7642,
1095,2.7642,
1096,2.7642,
1097,2.7642,
1098,2.7642,
1099,2.7642,
1100,2.7641,
1101,2.7638,
1102,2.7639,
1103,2.7639,
1104,2.7639,
1105,2.7641,
1106,2.7638,
1107,2.7638,
1108,2.7636,
1109,2.7636,
1110,2.7638,
1111,2.7638,
1112,2.7638,
1113,2.7636,
1114,2.7635,
1115,2.7633,
1116,2.7635,
1117,2.7636,
1118,2.7635,
1119,2.7632,
1120,2.763,
1121,2.7633,
1122,2.7635,
1123,2.7633,
1124,2.7632,
1125,2.763,
1126,2.763,
1127,2.7632,
1128,2.763,
1129,2.763,
1130,2.7629,
1131,2.7633,
1132,2.763,
1133,2.763,
1134,2.7629,
1135,2.7627,
1136,2.7629,
1137,2.7627,
1138,2.7627,
1139,2.763,
1140,2.7626,
1141,2.7627,
1142,2.7626,
1143,2.7626,
1144,2.7627,
1145,2.7629,
1146,2.7624,
1147,2.7626,
1148,2.7624,
1149,2.7623,
1150,2.7624,
1151,2.7624,
1152,2.7626,
1153,2.7621,
1154,2.7624,
1155,2.7623,
1156,2.7621,
1157,2.7621,
1158,2.7621,
1159,2.762,
1160,2.7621,
